percent_smokers,percent_frequent_physical_distress,percent_fair_or_poor_health,percent_below_poverty,percentile_rank_below_poverty,median_household_income,percentile_rank_no_highschool_diploma,average_number_of_physically_unhealthy_days,percentile_rank_per_capita_income,percentile_rank_social_vulnerability,per_capita_income
15.646473990999999,11.868180103,15.936653387,13.1,0.3362,55052.0,0.2999,3.9206883043,0.1818,0.4849,29349.0
17.664689381,13.088891395,18.900556514,22.1,0.8287,45517.0,0.9376,4.1668369043,0.8074,0.9086,20235.0
16.024647963,11.934368897,15.393386824,15.9,0.5107,53738.0,0.6829,3.8813864718,0.5033,0.6543,24220.0
14.17891525,11.436164395999999,15.493605698,13.6,0.3664,73703.0,0.5189,3.7780271925999998,0.0583,0.4187,35109.0
17.350194997,12.897591137000001,17.302028834,19.5,0.7294,41262.0,0.6431,4.2617505625,0.8663,0.5794,19285.0
17.971445009,14.337570204,20.64132206,24.4,0.8879,42618.0,0.6431,4.5339704975,0.6644,0.9182,22173.0
16.310994291,13.002554701,17.070928132,16.2,0.5304,42878.0,0.4467,4.1935195577,0.5938,0.2614,23076.0
18.370495757,13.239916326,17.910785155,20.8,0.7867,42728.0,0.6769,4.2138072623000005,0.7765,0.8211,20677.0
19.205305092,14.434733140999999,21.97416485,23.0,0.8586,36862.0,0.7781,4.5470207304,0.7418,0.9328,21133.0
15.658887703,12.243174122000001,17.038629017,15.2,0.469,50748.0,0.4951,4.013430578,0.4282,0.7861,25230.0
18.090857472,13.548234025,19.498561182,17.6,0.6227,46779.0,0.2773,4.3401861407,0.5893,0.8303,23148.0
15.372268443,10.750685704,13.642424512,10.0,0.1474,64426.0,0.5002,3.5989610136000003,0.235,0.1133,28202.0
15.757820204000001,11.124542473,14.155566273,8.2,0.0716,64768.0,0.1238,3.6573057029,0.1681,0.1146,29746.0
17.857970935999997,12.585892949000002,17.422171017,16.2,0.5304,47758.0,0.7268,4.0603332294,0.5896,0.7122,23146.0
15.073575689,11.341530647,14.894970835999999,13.9,0.3852,60801.0,0.5893,3.7460835673000004,0.2369,0.3731,28178.0
21.303396197999998,16.229843045,26.352486893000002,27.6,0.9424,42725.0,0.9694,4.968570247,0.9277,0.9809,17960.0
14.789372254000002,12.010675347000001,16.679165742000002,17.4,0.6097,59329.0,0.489,3.8704940321,0.1105,0.6186,31473.0
20.794787648,15.645356383,24.725769774,25.7,0.9147,38818.0,0.8876,4.8952619689,0.9265,0.9869,18009.0
18.379820476,12.194617147,17.061101274000002,19.5,0.7294,50112.0,0.45399999999999996,3.8374384811,0.2732,0.7233,27593.0
18.008536939000003,13.12708344,20.013418143,16.3,0.5387,57710.0,0.6925,4.2082921744,0.6476,0.7542,22394.0
16.768014654,12.532847112999999,18.091471904000002,17.2,0.5976,52798.0,0.6925,4.086465642,0.5444,0.7615,23710.0
15.828558435,11.811246277999999,16.678135604,12.0,0.263,51746.0,0.5982,3.8482573948,0.5536,0.4744,23602.0
18.298457598,13.848878312,18.241607088,19.3,0.7205,39502.0,0.8402,4.4369355787,0.8905,0.6428,18783.0
16.627128893,12.13700357,17.054864308,16.5,0.5536,58956.0,0.7529,3.9061790168,0.5571,0.7848,23563.0
19.773671306,14.428083719000002,22.487932531,24.3,0.8857,43591.0,0.9376,4.4937346232,0.8959,0.986,18682.0
15.811453025,11.835899326,16.261303671,17.6,0.6227,52166.0,0.4193,3.7802848457,0.2767,0.659,27531.0
20.236613403,15.39056261,24.193462632,26.8,0.9331,36760.0,0.9058,4.7920082719,0.8138,0.9608,20134.0
18.910360202,13.105016837,18.68184096,18.3,0.6651,51225.0,0.5734,4.2177553169,0.7354,0.7924,21214.0
18.181281242,12.564829172,15.335968639,16.7,0.5664,47183.0,0.5129,4.2715222129,0.3394,0.3598,26483.0
13.959955784000002,11.121400330999998,14.896301619,13.3,0.3483,54012.0,0.3973,3.7077369372000004,0.3372,0.447,26534.0
19.332545586,14.690702267,23.50295857,24.4,0.8879,38216.0,0.7934,4.6168182857,0.9376,0.9656,17650.0
20.208121023,14.579446295999999,22.320161836,22.9,0.8564,47892.0,0.6269,4.571505757200001,0.8933,0.9067,18715.0
17.312000945,12.669690525,18.729128827,22.4,0.8395,40653.0,0.7813,4.0954435639,0.8908,0.8179,18770.0
15.431593827999999,11.791999149,16.003703563,13.3,0.3483,60044.0,0.45399999999999996,3.8937588455000003,0.2324,0.469,28268.0
17.5268077,13.423622345999998,17.154375979,23.1,0.8609,44502.0,0.525,4.279346987099999,0.6874,0.6211,21903.0
17.681758712,11.908046723,16.704347488,14.6,0.4285,60296.0,0.609,3.8821100249000002,0.5877,0.6039,23171.0
18.612754764,14.162140374000002,20.750697096,22.8,0.8513,43302.0,0.7552,4.4699620376,0.8013,0.8437,20348.0
16.845355687999998,12.648413764,18.79597613,18.3,0.6651,48984.0,0.7685,4.0560002845,0.6482,0.8602,22389.0
19.316118167,14.266280935,21.574270165999998,22.1,0.8287,40433.0,0.7934,4.5194797858,0.7679,0.9825,20773.0
16.214111018,11.724766810999999,15.863118678,15.1,0.4635,62963.0,0.6581,3.8317499352999995,0.3451,0.3903,26352.0
18.565702742,12.950226332,17.239174778,20.0,0.7526,43972.0,0.7268,4.1897281913999995,0.8682,0.8704,19233.0
15.914126635,12.817960274,16.198657248,18.4,0.6705,46426.0,0.4664,4.1869712754,0.43200000000000005,0.4155,25195.0
16.834797645,12.466821962000001,15.711321274000001,16.6,0.5613,44693.0,0.7221,4.0440650891,0.6549,0.5301,22278.0
19.243701566,14.27603764,21.712093396999997,20.2,0.7599,43569.0,0.6679,4.47792317,0.7405,0.8001,21149.0
13.91919475,11.304559399,15.35144379,14.2,0.4043,64509.0,0.3292,3.5280945631,0.0697,0.5088,34091.0
15.701850892000001,12.240295265999999,15.947190595999999,18.0,0.6479,43967.0,0.7482,4.0068555682,0.6667,0.5489,22130.0
17.544425581,13.685716812999999,19.899421093,21.9,0.8223,47757.0,0.9134,4.3582390151,0.8223,0.9507,20007.0
14.276149569000001,11.493134805,15.077361990999998,14.6,0.4285,59471.0,0.3292,3.7466326082999997,0.1697,0.4101,29679.0
18.299857696,13.039605515999998,19.674727936,17.4,0.6097,50122.0,0.6479,4.2129232738999995,0.5119,0.8606,24106.0
15.852352644000002,12.168624726,15.825482193,17.7,0.6291,53419.0,0.1356,3.9357727244,0.1423,0.4043,30375.0
19.471204783,14.860908542999999,23.455464518000003,28.5,0.9526,37233.0,0.8609,4.6825244599,0.8886,0.951,18836.0
